00005855n|Se conoce como juego sexual a los preludios del acto sexual.
03834520n|Star Wars: caballeros de la Antigua Republica 2: los señores Sith tambien conocido como KOTOR II es un videojuego de rol desarrollado por Obsidian Entertainment y publicado por LucasArts situado en el universo ficticio de La guerra de las galaxias, 3.951 años antes de los acontecimientos del cuarto episodio de Star Wars y cinco despues de Star Wars: Caballeros de la Antigua Republica.
03834918n|Magnant es un videojuego para PC que trata sobre una colonia de hormigas que debe destruir a las colonias vecinas para esto, el jugador dispone de diversas hormigas militares o soldados que debe comandar para la defensa de la colonia y el ataque a otras colonias.
03835718n|Chameleon Twist es un juego de plataformas de aspecto infantil lanzado para Nintendo 64 en 1997.
03835899n|Yoshi's Cookie es un videojuego de tipo puzzle disponible para la NES, Game Boy, SNES, y la Consola Virtual de la Wii.
03836413n|Blade: The Edge of Darkness es un videojuego de accion en 3D desarrollado por la empresa española Rebel Act Studios y distribuido por Codemasters.
03838904n|Alex Kidd in the Enchanted Castle es un videojuego para Sega Mega Drive.
03839529n|Gex: Enter the Gecko es un videojuego de plataformas lanzado en 1998.
03841314n|Formula One Championship Edition, abreviada a veces F1 CE, es un videojuego lanzado para la PlayStation 3 exclusivamente.
03841690n|Counter-Strike: Source es un videojuego de la serie Counter-Strike surgido originalmente como \"Mod\" del juego Half-Life 2 de Valve y publicado por Steam.
03843289n|Donkey Kong es un juego de maquina recreativa creado por Nintendo en el año 1981.
03843648n|Silver Chaos es un videojuego yaoi, realizado por Vivid Color y artworked por Takatsuki Noboru.
03845033n|Nicktoons Winners Cup Racing es un videojuego publicado por ValuSoft y desarrollado por Pronto Games, Inc. para PC.
03845600n|Aero Fighters es un juego de arcade, de disparos y de scroll vertical, lanzado en 1992 por Video System.
03845608n|Aero the Acro-Bat es un videojuego para Super Nintendo y Mega Drive/Genesis publicado por Sunsoft en octubre de 1993.
03845614n|Aero the Acro-bat 2 es un videojuego de plataformas lanzado por Sunsoft para Super Nintendo y Sega Mega Drive en 1994.
03845618n|Aerobiz Supersonic, conocido como en Japon, es un videojuego de simulador de negocios lanzado por Koei en agosto del 1994, disponible para Super Nintendo y Mega Drive/Genesis.
03846303n|Space Hulk es un juego de tablero que la editorial britanica Games Workshop publico por primera vez en 1989.
03846543n|Imperivm Civitas es un videojuego de construccion de ciudades desarrollado por Haemimont Games, traducido y distribuido en España e Italia por FX Interactive, y para el resto del mundo distribuido por Kalypso Media bajo el titulo Glory of the Roman Empire.
03848221n|Illusion of Time, conocido en Japon como    y en Estados Unidos como Illusion of Gaia, es un videojuego del genero ARPG lanzado en 1995 para la consola Super Nintendo.
03849193n|The Neverhood es un videojuego lanzado en 1996 para PC, basado en tecnicas claymation, creado por el animador Doug TenNapel y lanzado por Dreamworks Studios.
03849286n|Season of Sakura es un videojuego bish jo para MS-DOS.
03850790n|Counter-Strike: Condition Zero es un videojuego de disparos en primera persona.
03851081n|El profesor Layton y la Caja de Pandora es el segundo de los tres videojuegos de la primera trilogia en la saga de El Profesor Layton.
03852046n|Clockwork Knight es un videojuego creado en 1994 por AM7 y distribuido por Sega of America, Inc. para la consola Sega Saturn.
03852980n|Necromunda es un juego de estrategia ambientado en el universo de Warhammer 40.000, publicado por la empresa multinacional britanica Games Workshop.
03855492n|Globulation 2 es un videojuego de estrategia en tiempo real de ambientacion fantastica.
03855550n|D2 es un videojuego de terror creado por la compañia japonesa WARP publicado por Sega en Japon y en Estados Unidos para la consola Dreamcast en 1999.D2 es una secuela de D a pesar de no tener conexion con el primer juego,salvo por la apariencia y el nombre de pila del protagonista,Laura.
03857075n|Empire Earth III, tambien llamado EE3, es un videojuego de estrategia en tiempo real para ordenador desarrollado por Mad Doc Software y distribuido por Sierra Entertainment, lanzado el 6 de noviembre de 2007.
03860806n|Dune es un videojuego basado en la novela homonima de Frank Herbert, desarrollado por Cryo Interactive y publicado por Virgin Entertainment entre los años 1992 y 1993.
03861590n|ClayFighter 63  es un videojuego de lucha lanzado para Nintendo 64 por Interplay en 1997.
03862188n|Chris Sawyer's Locomotion es un videojuego de computadora creado por programador individual Chris Sawyer, en el que el jugador debe crear una telaraña de transportes de personas y mercancias.
03866802n|Stunts es un videojuego de carreras desarrollado por Distinctive Software, Inc.
03868745n|Star Ocean: Till the End of Time es un juego de RPG, sucesor de los juegos Star Ocean y Star Ocean: 2nd Story.
03868958n|Hitman: Codename 47, nombrado en español como Hitman: Codigo 47 es un videojuego de disparos en tercera persona creado por la compañia IO Interactive y publicado por Eidos Interactive en 2000.
03869385n|Twister es un juego de habilidad producido por Hasbro.
03869704n|2002 FIFA World Cup es el videojuego oficial de la Copa del Mundo publicado por EA Sports.
03870406n|Attack of the Killer Tomatoes es un videojuego de plataformas en 2D desarrollado por Imagineering y lanzado en 1991 para el NES.
03870897n|Flashback: The Quest for Identity es un videojuego creado por la compañia Delphine Software en 1992 con la colaboracion de US Gold.
03871627n|El Senet es un juego de mesa originado en el Antiguo Egipto y muy famoso en esa epoca.
03871855n|Aces High es un videojuego MMOG de pago de simulacion aerea belica para PC, creado por HiTech Creations y publicado el 8 de mayo de 2000.
03872389n|Tibia es un videojuego de rol multijugador masivo en linea, desarrollado por CipSoft.
03872739n|Renegade es un videojuego lanzado en las salas recreativas en America y Europa en 1986 por Taito.
03872910n|Vampiro: el requiem es un juego de rol publicado en Estados Unidos por White Wolf y ambientado en el universo de ficcion creado por la editorial: el asi llamado Mundo de Tinieblas.
03873410n|Mortal Kombat 3 es el tercer videojuego y la tercera entrega de la saga, fue lanzado en 1995 por Midway Games para la consola Arcade, fue estrenado despues del exito de su antecesor, Mortal Kombat II, y con ello una gran barrera para sobrepasar, por lo que incluyo un boton adicional para que los personajes avanzaran mas rapido.
03874204n|La carrera de rodado del huevo, o el rodado del huevo de Pascua es un juego tradicional de algunos paises que se juega utilizando huevos para Pascua.
03874566n|Nocturne es un videojuego creado para Microsoft Windows por Terminal Reality en 1999.
03876226n|Vampire: The Eternal Struggle es un juego de cartas coleccionables basado en el juego de rol Vampiro: la mascarada.
03877202n|The Legend of Zelda: Skyward Sword es un juego de accion-aventura para la videoconsola Wii.
03878840n|MDK es un videojuego en tercera persona creado por Shiny Entertainment en 1997.
03880236n|Los tronadores o tronadoras, es un juego de habilidad personal, consistente en balancear dos esferas y hacer que \"tronen\", sin estas perder su equilibrio, por el mayor tiempo posible.
03882208n|Dragon Warrior III, conocido en Japon como, es un videojuego de rol desarrollado por Chunsoft y publicado por Enix.
03884177n|En el juego del Go, la forma describe las cualidades en la posicion sobre el tablero de un grupo de piedras.
03884244n|Zero the Kamikaze Squirrel es un videojuego para las consolas Super Nintendo y Sega Mega Drive lanzado por Sunsoft y desarrollado por Iguana Entertainment.
03885274n|Sky Destroyer es un videojuego publicado por Taito en 1985 para el Sistema Arcade y luego portado al Nintendo Famicom, la version original japonesa del Nintendo Entertainment System.
03887032n|Sparkster es un videojuego de plataformas de scroll horizontal de la era de los 16 bits creado y distribuido por Konami en 1994 para la videoconsola Super Famicom/Super Nintendo.
03888773n|Age of Empires: The Rise of Rome Expansion es un videojuego de estrategia en tiempo real para computadoras personales, expansion del Age of Empires original.
03889022n|Final Fight 3 es un videojuego que el 1995 fue lanzado al mercado por la compañia japonesa Capcom para la consola Super Nintendo.
03889030n|Final Fight Revenge es un videojuego de lucha en 3D lanzado en 1999.
03890094n|LittleBigPlanet, comunmente abreviado como LBP y desarrollado bajo el titulo de The Next Big Thing, es un videojuego de plataformas y de logica cuyos escenarios son generados por los propios usuarios.
03890824n|Peggle es un videojuego tipo puzzle-casual, desarrollado por PopCap Games, lanzado en febrero de 2007.
03891051n|Age of Empires II: The Conquerors es un videojuego de estrategia en tiempo real para computadoras personales, desarrollado por Ensemble Studios y publicado por Microsoft Games para las plataformas Microsoft Windows y Apple Macintosh.
03892597n|Hogan's Alley es un videojuego lanzado en 1984 por Nintendo para su consola Nintendo Entertainment System.
03892830n|Liquid Kids, llamado en Japon Mizubaku Daibouken Adventure, es un videojuego de plataformas desarrollado por Taito en 1990 para arcade.
03893087n|Anubis II es un videojuego de accion creado por Metro 3D.
03894642n|Resistance 2 es un videojuego de ciencia ficcion que pertenece al genero de accion en primera persona, desarrollado por Insomniac Games y distribuido oficialmente por Sony Computer Entertainment, exclusivamente para la consola Playstation 3.
03894964n|La Grace o Les Graces fue un juego inventado en Francia durante el primer trimestre del siglo XIX bajo el nombre original de Le Jeu des Graces.
03898280n|God of War: Chains of Olympus es un videojuego para PSP, desarrollado por Ready at Dawn Studios.
03898586n|The Shadow es un videojuego cancelado para la Super Nintendo el cual fue publicado por Ocean.
03898631n|Call of duty: Finest Hour es un videojuego de disparos en primera persona y spin-off del primer Call of Duty, que pone de escenario nuevamente la Segunda guerra mundial.
03899198n|Charazay es un videojuego en linea en el que eres dueño de tu propio equipo de baloncesto.
03925999n|Guitar Hero: On Tour Decades es un videojuego musical diseñado para la consola Nintendo DS, basado en la exitosa saga de juegos Guitar Hero.
03926721n|MPLE "     es un videojuego de rol desarrollado por Ape Inc., Nintendo Tokyo R&D Products y HAL Laboratory, Inc. y publicado por Nintendo para la Game Boy Advance el 20 de junio de 2003.
03927666n|MPLE "Disney Princess: Enchanted Journey es un videojuego de la accion-aventura desarrollado por Estudio de Papaya y publicado por Disney Estudios Reciprocos para el Sony Playstation 2, Nintendo Wii y PlayStation Portable.
03929081n|Resident Evil Survivor 2: Code Veronica es un videojuego de disparos con pistola de luz desarrollado por Capcom.
03929427n|Krynea Imperial Wars es un videojuego de estrategia en linea multijugador masivo, cuyo fin es el colonizaje y la conquista.
03931404n|Imperium II: La Conquista de Hispania es un videojuego de estrategia para PC producido por FX Interactive, basado en hechos historicos ocurridos en Europa y el norte de Africa.
03932307n|Narco Police es un videojuego en primera persona de accion y estrategia desarrollado por Dinamic Software junto con Iron Byte en 1990, sacando dicho juego para las plataformas Commodore Amiga, Sinclair ZX Spectrum, MSX, Atari ST, Amstrad CPC, Commodore 64 y posteriormente sacaron una version para PC MS-DOS.
03932308n|Freddy Hardest es un videojuego desarrollado y publicado por Dinamic Software en 1987.
03932309n|Livingstone supongo es un videojuego de tipo videoaventura desarrollado por la empresa española Opera Soft en 1986 para los ordenadores de la epoca Sinclair ZX Spectrum, MSX, Amstrad CPC, Amstrad PCW, Commodore 64, Atari ST y PC.
03932340n|Un juego de minoria es un juego propuesto en el marco de la teoria de juegos por Yi-Cheng Zhang y Damien Challet de la Universidad de Friburgo.
03933618n|De Profundis: cartas desde el abismo es un juego de rol creado por el escritor polaco Michal Oracz y publicado inicialmente en Polonia por la editorial Portal.
03940427n|Dragon Ball Z: Hyper Dimension es el ultimo videojuego de Dragon Ball lanzado para la Super Nintendo.
03944476n|La Secte Noire es un videojuego de aventura desarrollado y editado por Lankhor en 1990 para Amstrad CPC.
03948228n|El Aluette es un juego de cartas frances que se juega especialmente en las zonas rurales y costeras entre el estuario de la Gironda y el estuario del Loira.
03948945n|Resident Evil: Deadly Silence es un videojuego para la Nintendo DS desarrollado por Capcom.
03952267n|Dragon Ball Z: The Legend conocido como Dragon Ball Z: The Legend en España, fue el segundo juego de esta tematica que aparecio para la consola Sega Saturn.
03952394n|Dragon Ball Z: Ultimate Battle 22 es un videojuego de lucha basado en Dragon Ball para PlayStation, que obtuvo criticas muy negativas de la prensa especializada.
03952396n|Dragon Ball Z: Shin But den es un juego basado en la saga Dragon Ball para Sega Saturn que salio al mercado en 1995.
03957086n|Guilty Gear Judgment es un videojuego de la saga de Guilty Gear que fue programado para PlayStation Portable.
03957444n|Mickey Saves the Day es un videojuego de Disney Interactive Studios para PC.
03960597n|Aquelarre es un juego de rol creado por Ricard Ibañez y publicado por primera vez en 1990 por la editorial barcelonesa Joc Internacional.
03960984n|Colin McRae Rally 2.0, tambien conocido como Colin McRae 2.0 o simplemente Colin McRae 2, es un videojuego semisimulador de carreras lanzado en Estados Unidos el 5 de diciembre de 2000 para PlayStation y el 14 de febrero de 2001 para PC.
03962193n|El Tutti frutti es un juego de lapiz y papel muy popular entre los niños, su origen es desconocido.
03962758n|Captain Tsubasa es un videojuego lanzado para Famicom por Tecmo en 1988 y se basa en el manga y anime del mismo nombre.
03963130n|The Smurfs es un juego de plataformas basado en los tebeos y la serie del mismo nombre popular.
03965111n|One Piece: Gear Spirit es un videojuego desarrollado por Bandai Namco y puesto a la venta a finales de agosto de 2008 unicamente en Japon.
03966465n|The Simpson Bowling es un videojuego arcade publicado en 2000 por Konami.
03967355n|Sonic Drift 2 es un videojuego desarrollado por Sonic Team para el sistema de entretenimiento informatico Game Gear, y distribuido por SEGA en marzo en Europa, y concretamente el 17 de marzo de 1995 en Japon.
03967657n|The Simpsons: Minutes to Meltdown es un juego creado por la compañia Electronic Arts en colaboracion con Fox Mobile Entertainment y Gracie Films que salio en 2007 siendo exclusivo para moviles como unica plataforma.
03969548n|GL-117 es un videojuego de simulacion de vuelo y combate desarrollado con contenido libre.
03972011n|Dragon Ball Z: Buy Retsuden, o Dragon Ball Z: L'appel Du Destin en Francia, es el unico videojuego de lucha realizado por Bandai para la consola de videojuegos Megadrive con los personajes de la famosa serie de animacion Dragon Ball de Akira Toriyama.
03976213n|Mahjong 64 es un videojuego de simulacion basado en el famoso juego de mesa Mahjong.
03976661n|Robotron 64 es un videojuego lanzado en 1998 para la Nintendo 64.
03978022n|Gnometris, tambien llamado Quadrapassel, es un juego del entorno de escritorio GNOME y forma parte del kit de juegos de GNOME Games que viene incluido en el software de GNOME.
03978173n|Negociantes es un juego de cartas no coleccionables diseñado por Francois Treca en 2004 y editado en Francia en 2006 con ilustraciones de Cyrille Bertin.
03979957n|The Addams Family: Pugsley's Scavenger Hunt es un videojuego de plataformas publicado por Ocean en 1993.
03980565n|Unlur es un juego entre dos personas que van colocando por turnos fichas sobre un tablero hexagonal.
03981143n|Advanced Dungeons & Dragons: Pool of Radiance es un videojuego de rol que fue el primero en ser lanzada en 1988 para la computadora, bajo el nombre de Pool of Radiance, y adaptado al Famicom en 1991 y para el NES en 1990.
03986808n|Beetle Crazy Cup es un videojuego desarrollado por Xpiral e Infrogames para el año 2000 y que trata sobre carreras de coches volkswagen.
03987722n|The Legend of Zelda: Collector's Edition es un videojuego de Game Cube que se vendio en tiendas a finales de 2003 y la unica forma de conseguirlo era, ya que no se llego a vender de manera individual, comprando cualquiera de los siguientes packs disponibles: consola de Edicion Especial Plateada de Nintendo Game Cube, pack de consola negra o morada con Mario Kart Double Dash!!
03989501n|Dragon Ball Z: Super But den es un videojuego basado en la serie anime y el manga Dragon Ball Z de Akira Toriyama y desarrollada por la compañia de videojuegos Bandai para la consola Super Nintendo.
03992108n|Sniper: Art of Victory es un videojuego de disparos en primera persona de City Interactive publicado en 2008 para la PC, ambientado durante la Segunda Guerra Mundial.
03992772n|Art of Fighting 2 es la segunda parte del videojuego Art of Fighting desarrollado por SNK.
03992974n|4Story es un juego MMORPG de la empresa alemana de videojuegos Gameforge.
03994422n|The Mana World es un videojuego de rol multijugador masivo online, disponible para GNU/Linux, Windows, Mac OS y FreeBSD, esta bajo la licencia GPL y es gratuito.
04003145n|Assassin's Creed: Lost Legacy es un videojuego cancelado que iba a ser desarrollado para la Nintendo 3DS.
04005593n|Los Hombres Lobo de Castronegro es un juego de cartas de 8 a 18 jugadores creado en 2001 por Dimitry Davidoff, Philippe des Pallieres y Herve Marly.
04006705n|Kenta Nagata es un compositor de videojuegos que trabaja para Nintendo.
04007316n|S.T.A.L.K.E.R. 2 era un videojuego en desarrolo first person shooter ambientado en un futuro post-apocaliptico, el cual estaba en desarrollo por la compañia ucraniana GSC Game World.
04020085n|Grepolis es el tercer juego desarrollado independientemente por InnoGames.
04025617n|Mundo del Rio o RiverWorld es un videojuego de PC lanzado en 1998 por Cryo Interactive, basada en la serie de novelas de Philip Jose Farmer.
04029741n|Haxball es un videojuego en linea multijugador, en ingles, creado en Argentina por Mario Carbajal, en Agosto de 2010, aunque empezo a tener repercusion meses mas tarde.
04030607n|Sonic the Hedgehog 4 es un videojuego no autorizado para la Super Nintendo Entertainment System, que tiene su grafica tomada de los juegos de Sonic the Hedgehog ocupando la jugabilidad del videojuego Speedy Gonzales: Los Gatos Bandidos.
04033790n|Tactics Arena Online es un juego estrategico de turnos en internet que usa el programa Flash MX.
04045249n|Alien Resurreccion es un videojuego de disparos en primera persona basado en la pelicula del mismo nombre, lanzado para la Sony PlayStation en el año 2000.
04045897n|Dragon Ball Z: Supersonic Warriors 2 es un videojuego de lucha exclusivo para Nintendo DS basado en la popular serie de anime Dragon Ball Z.
04048591n|El quinto es un juego tipico de las fechas navideñas que se juega en varias localidades del Valles Occidental, de Ampurdan, del Garraf, la Safor y de otras comarcas catalanas y valencianas.
04049066n|Yume K j : Doki Doki Panic es un videojuego lanzado en 1987 en Japon por la Fuji Television y desarrollado por Nintendo.
04049857n|Dragon Power, lanzado originalmente en Japon como es un videojuego de accion-aventura desarrollado por TOSE Software Company y distribuido por Bandai para la consola Nintendo Entertainment System.
04050704n|Commandos: Beyond the Call of Duty o Mas Alla del Deber es el segundo juego de la saga Commandos y continuacion de Commandos: Behind Enemy Lines.
04052092n|Hermie Hopperhead es un videojuego para PlayStation distribuido en 1995 por Sony Computer Entertainment y desarrollado por Yuke's Hermie es un niño de 10 años que espera a su novia Trish, mientras espera ve que un tacho de basura sale disparado un huevo con manchas verdes lo cual llama su atencion y trata de llevarselo pero cae en el tacho de basura que se transformo en un pozo hondo.Al finalizar el juego se podra ver a Trish enojada por el retraso de Hermie este sale disparado del tacho de basura y le pide disculpas a Trish, esta le niega las disculpas luego de un rato deciden irse dejando todo como estaba, al rato llega el señor de la basura llevandose el tacho y colocando uno nuevo, cuando nadie esta en esa calle el mismo huevo con manchas verdes aparece con un pinguino, una gallina, una tortuga y un dragon mostrando una seña que significa el numero dos en la que volverian a buscar a Hermie.
04052467n|Mortal Kombat Advance es un juego de lucha de la saga Mortal Kombat lanzado para Game Boy Advance en 2001.
04052608n|Mortal Kombat Gold es un juego de lucha de la serie Mortal Kombat.
04052642n|Mortal Kombat: Tournament Edition es un juego de lucha de la saga Mortal Kombat y el tercero para Game Boy Advance.
04057277n|Buzzerbeater es un videojuego en linea gratuito, perteneciente a la compañia Digital Field Theory, LLC, creado en Boston por Mark Daniels, el 15 de abril de 2007.
04057316n|FootStar es un juego de rol en donde su papel es ser un jugador que entrena y juega en un equipo de futbol, estos equipos pueden ser humanos o controlados por el ordenador.
04068299n|Basketsim es un videojuego de navegador gratuito en el que el jugador gestiona un equipo de baloncesto.
04086459n|Star Wars Combine es un videojuego multijugador masivo en linea en tiempo real, que se juega mediante un navegador web, ambientado en el universo de Star Wars.
04101711n|Comunio es un videojuego de navegador de manager de futbol.
04135963n|Si bien el ajedrez es un juego de estrategia de mucha profundidad, muchos ajedrecistas, en especial muchos grandes ajedrecistas de la historia, han aprendido desde la infancia, asi tenemos a Jose Raul Capablanca que aprendio a los 4 años de edad.
04161317n|Travians es un premiado videojuego de rol en tiempo real de navegador desarrollado por Travian Games GmbH, lanzado el 19 de febrero de 2008.
04168593n|Rakion es un videojuego que te permite conectarte en tiempo real, de la compañia Softnyx.
04169191n|Conquista Online es un videojuego de rol multijugador masivo en linea, producido por TQ Digital Entertaiment.
04170097n|Fable: The Lost Chapters es un juego basado en el exito de ventas de su antecesor Fable para Xbox, producido por la compañia Lionhead Studios.
04174237n|Juegos de Guerra en el Pacifico en un libro de los analistas chilenos Carlos Gonzalez Shan l y Luis A.
04231928n|Kingsage es un juego de navegador de estrategia en tiempo real multijugador masivo, cuyo fin es la colonizacion y la conquista, sin embargo tambien se le da mucha importancia al comercio y a la diplomacia.
04248219n|Hajime Wakai es un compositor de videojuegos mejor conocido por su trabajo con Nintendo en juegos como Star Fox 64 y la saga Pikmin.
04249126n|Pinocho es un juego de naipes similar al Poquer con baraja inglesa sin comodines que se utiliza para apostar. puede ser dos o tres jugadores, aunque lo ideal es que sean cuatro o cinco jugadores.
04252481n|NosTale es un videojuego MMORPG desarrollado por Entwell Co., Ltd. y distribuido por Gameforge creado en 1996 Al igual que los otros juegos de la compañia es un juego en su totalidad gratuito, aunque los jugadores pueden obtener beneficios que los ayuden en su aventura virtual a cambio de una determinada suma de dinero, efectuada mediante PayPal, Paysafecard, credite u otros metodos.
04255767n|CSPromod es un videojuego de accion cooperativo en primera persona por equipos, totalmente gratuito y desarrollado por colaboradores altruistas.
04256853n|Art Of Fighting es un videojuego de lucha lanzado al mercado en el año 1992 por la compañia japonesa SNK, siguiendo la tendencia al alza de las sagas de videojuegos de lucha, como Street Fighter II.
04259426n|Painkiller Overdose es otro juego Painkiller que fue anunciado y editado para PC el 30 de octubre de 2007.
04266235n|Crimsonland es un videojuego de genero shoot 'em up, lanzado el 22 de abril de 2003.
04267659n|Resident Evil: Portable es un videojuego de genero survival horror de la saga Resident Evil, desarrollada por Capcom.
04267667n|Matatenas o Jackses es un juego en el que principalmente influye la destreza de los participantes, y en mucha menor medida el azar.
04272889n|Los videojuegos de estrategia en tiempo real multijugador masivos en linea o MMORTS son videojuegos de estrategia en tiempo real que permiten a miles de jugadores introducirse en un mundo virtual de forma simultanea a traves de Internet, e interactuar entre ellos en tiempo real.
04273254n|Gradius Collection es un recopilatorio de 5 juegos de la saga Gradius, lanzada para la PSP en 2006, desarrollados todos ellos por Konami.
04274401n|Lucky  Star Moe Drill es un videojuego de Lucky  Star perteneciente a la consola Nintendo DS.
04277551n|Metal Slug X es un videojuego que forma parte de la saga Metal Slug.
04281980n|Archimago fue un exitoso videojuego de estrategia multijugador basado en navegador y con una base de turnos, donde el jugador juega un mago resucitado de las profundidades del Infierno y gobierna ejercitos enormes con elementos magicos y mundanos.
04282232n|Hannah Montana es un videojuego de basado en el programa de Disney Channel Hannah Montana.
04282233n|Hannah Montana: Spotlight World Tour es un videojuego basado en el show de television, Hannah Montana.
04282234n|Hannah Montana: Music Jam es el segundo de los tres videojuegos basados en el Hannah Montana de television.
04283571n|Bleach: Soul Carnival es un videojuego beat'em up basado en el manga y anime de Tite Kubo, Bleach.
04288227n|Super Mario Advance es un videojuego de plataformas desarrollado por Nintendo R&D2 para la consola de videojuegos Game Boy Advance en el año 2001.
04295408n|Warpfire es un videojuego de rol en linea multijugador creado en 2007 por Gameforge.
04309964n|Kunio Kun no Nekketsu Soccer League es un videojuego de futbol desarrollado por Technos Japan Corp. en 1993 para el sistema NES/Famicom.
04311752n|Trophy Manager es un juego en linea de navegador creado por Niklas y Soren, dos estudiantes de Dinamarca.
04499562n|Cantr II es un juego de rol multijugador masivo online que solo necesita el uso del navegador para ser jugado y que tiene como objetivo simular la creacion y el desarrollo de una sociedad.
04499802n|Popmundo es un videojuego de navegador creado por ExtraLives AB.
04500350n|El burro es un juego de naipes de la baraja española cuyo objetivo principal es conseguir cuatro cartas del mismo numero.
04501639n|Street Chavo, tambien conocido por el nombre en portugues de Street Chaves, es un juego de peleas no oficial para PC con los personajes de la serie mexicana El Chavo del Ocho que parodia los juegos de lucha consagrados como Street Fighter, Art Of Fighting, Darkstalkers e incluso The King Of Fighters, de empresas como Capcom y SNK.
04502662n|La casita robada es un juego de cartas similar al Tomate en el que se utilizan barajas españolas o francesas.
04503001n|Mega Man es un juego de ordenador para DOS que fue desarrollado originalmente para ser parte de los videojuegos de la serie Mega Man, fue licenciado por Capcom, el juego DOS fue creado en por la Hi-Tech Expressions y lanzado solamente en Estados Unidos en 1990.
04503002n|III Mega Man es un juego de ordenador para DOS exclusivo de America del Norte el cual fue lanzado en 1992 por la Hi-Tech Expressions bajo licencia de Capcom.
04506262n|Cyclingforfun es un juego de manager de ciclismo online gratuito, en el que puedes ser el director de tu propio equipo ciclista y donde debes gestionar tu equipo para competir contra otros managers por la fama y la gloria en las mas importantes carreras ciclistas.
04506575n|Hikaru no Go 3 es un videojuego de estilo \"juegos de mesa\" desarrollado y publicado por Konami en 2003 y unicamente llego al mercado japones.
04507251n|La mata, es un antiguo juego de naipes practicado en España, especialmente en la provincia de Avila y especificamente en La Serrada.
04507252n|El envite es el juego canario de cartas por excelencia.
04507333n|El guiñote es un juego de cartas o naipes muy similar al tute y emparentado con otros como la brisca, el arrastrado o el subastado.
04507334n|El gofo es un juego de naipes, adaptacion de habitantes de la localidad de Bengolea, provincia de Cordoba, Argentina, del golfo de origen español, extraordinaria adaptacion de un juego europeo tambien jugado en muchos pueblos y ciudades de Argentina en donde los imigrantes españoles e italianos eligieron para vivir.
04507335n|El gile, giley o cuarenta y una es un juego de envite con descarte en el que se emplea la baraja española.
04508253n|Neko no ko koneko, shishi no ko kojishi es un juego de palabras japones, planteado originalmente por el Emperador Saga al poeta Ono no Takamura.
04508257n|The Legend of Zelda: Ocarina of Time Master Quest es un juego de Edicion Especial que estuvo disponible como extra al reservar el juego The Legend of Zelda: The Wind Waker de GameCube.
04508527n|Naruto: Ninja Council European Version es un videojuego para la consola portatil Nintendo DS, publicado en Europa, Japon y Norteamerica, basado en la serie de manga y anime Naruto.
04508923n|La Malla portuguesa es un juego tradicional portugues en el que se lanzan unos discos en direccion a un palo que se encuentra a algunos metros de distancia para intentar derribarlo.
04509836n|Zombie Infection es un videojuego de telefono movil desarrollado por Gameloft lanzado en 2008 para Telefono Movil, posteriormente lanzado en una version remasterializada con una historia diferente el 2010 con comandos Touch y una vista en tercera persona, para el Iphone y Ipod Touch.
04513785n|SingStar Party es un juego de karaoke del sistema PlayStation 2 publicado por Sony Computer Entertainment Europe y desarrollado por SCEE y London Studio.
04513790n|SingStar '80s es un juego de karaoke del sistema PlayStation 2 publicado por Sony Computer Entertainment Europe y desarrollado por SCEE y London Studio.
04516677n|Codename: Panzers Phase II o simplemente Panzers II, es un videojuego de estrategia en tiempo real desarrollado por Stormregion y distribuido por FX Interactive para Windows.
04520938n|Freeze es un juego de mesa abstracto para dos jugadores sobre un tablero de 8x8 casillas similar al utilizado en ajedrez o damas.
04521273n|Magneton es un juego de mesa abstracto de alineamiento para dos jugadores, desplegado sobre un tablero de 8x8 con 12 fichas cada jugador, blancas y negras.
04524078n|SingStar Pop Hits 40 Principales es un juego de karaoke del sistema PlayStation 2 publicado por Sony Computer Entertainment Europe y desarrollado por SCEE y London Studio.
04553587n|Un juego por turnos es un juego en el cual el flujo de juego es particionado en partes bien definidas y visibles, llamadas turnos.
04562036n|DarkPirates es un juego multijugador masivo on-line desarrollado por la empresa alemana Gameforge.
04564660n|The World es un juego de rol multijugador masivo online ficticio que aparece en las series de Anime, Manga y videojuegos del mundo.hack.
04582007n|Klotski es un juego de fichas o ladrillos que tiene su origen en un juego de madera denominado Ane Rouge.
04585057n|Super Robot Wars Gaiden: Mas Kishin The Lord of Elemental es un videojuego parte de la franquicia Super Robot Wars lanzado en 1996 para la Super Nintendo por Banpresto, en conjunto con Winky Soft.
04586283n|Angel Halo es un videojuego eroge desarrollado por Active, para las plataformas NEC PC-9801, FM Towns, Macintosh, y Windows.
04587547n|Mah Sh jo Madoka Magika Portable es un videojuego para la consola PlayStation Portable de aventuras lanzado el 15 de marzo de 2012.
04589616n|TwinBee Portable es un videojuego recopilatorio de 5 titulos de la saga TwinBee, publicado unicamente en Japon por Konami para la PSP en 2007.
04589618n|Parodius Portable es un videojuego recopilatorio de 5 titulos de la saga Parodius, publicado unicamente en Japon por Konami para la PSP en 2007.
04591385n|El idiota es un juego de cartas que se juega con la baraja francesa, sin comodines.
04591909n|Saint Seiya: Chapter-Sanctuary es un videojuego programado por el equipo de programacion Dimps, y distribuido por Bandai. su lanzamiento en Europa fue el 1ro de Julio del 2005.
04592905n|Xpert Eleven es un juego de navegador, creado en Suecia en 2003.
04593340n|ManagerLeague es un videojuego multijugador masivo en linea cuyo objetivo es la gestion y direccion de un equipo de futbol.
04593341n|CyClones es un videojuego de disparos en primera persona creado por la compañia Raven Software en 1994.
